code,dictEntry,localAbbrev,dictionaryCategoryId,displayKey,sortOrder,isActive
INDETERMINATE_=_BAND_PATTERN_DOES_NOT_MEET_CRITERI,INDETERMINATE = Band pattern does not meet criteria for positive. Repeatedly similar indeterminate patterns indicate bands not specific for HIV. Please submit another OraSure (or serum) sample on month following the first sample for repeat testing.,H3,3,,2400,true
INFLUENZA_VIRUS_A_RNA_DETECTED,INFLUENZA VIRUS A RNA DETECTED,,3,,100,true
INFLUENZA_VIRUS_A_H3_RNA_DETECTED,INFLUENZA VIRUS A/H3 RNA DETECTED,,3,,400,true
ONE_OR_MORE_BANDS_ARE_PRESENT_BUT_THE_BLOT_DOES_NO,"One or more bands are present but the blot does not meet the criteria for a positive HIV-1 Western Blot result. NOTE: The HIV-1 Western Blot confirms the presence of antibodies to HIV. This test does not always distinguish between the antibodies to HIV-1 and HIV-2 due to cross reactivity between the antibodies. If you suspect HIV-2, please contact the MDH Epidemiology at 877-676-5414 or 651-201-5414.",H13,3,,2500,true
NO_BANDS_PRESENT_ON_THE_HIV_1_WESTERN_BLOT._NOTE:T,"No bands present on the HIV-1 Western Blot. NOTE:The HIV-1 Western Blot confirms the presence of antibodies to HIV. This test does not always distinguish between the antibodies to HIV-1 and HIV-2 due to cross reactivity between the antibodies. If you suspect HIV-2, please contact the MDH Epidemiology at 877-676-5414 or 651-201-5414.",H14,3,,2600,true
THE_HIV_1_WESTERN_BLOT_CONFIRMS_THE_PRESENCE_OF_AN,"The HIV-1 Western Blot confirms the presence of antibodies to HIV. This test does not always distinguish between the antibodies to HIV-1 and HIV-2 due to cross reactivity between the antibodies. If you suspect HIV-2, please contact the MDH Epidemiology at 877-676-5414 or 651-201-5414.",H12,3,,2700,true
PRELIMINARY_POSITIVE_SCREEN_FOR_HIV_1_ANTIBODIES_A,PRELIMINARY POSITIVE screen for HIV-1 antibodies and PRELIMINARY NEGATIVE screen for HIV-2 antibodies,H8,3,,2800,true
PRELIMINARY_NEGATIVE_SCREEN_FOR_HIV_1_ANTIBODIES_A,PRELIMINARY NEGATIVE screen for HIV-1 antibodies and PRELIMINARY POSITIVE screen for HIV-2 antibodies,H9,3,,2900,true
PRELIMINARY_POSITIVE_SCREEN_FOR_ANTIBODIES_TO_HIV_,"PRELIMINARY POSITIVE screen for antibodies to HIV-1 and HIV-2, undifferentiated",H10,3,,3000,true
PRELIMINARY_NEGATIVE_SCREEN_FOR_HIV_1_AND_HIV_2_AN,PRELIMINARY NEGATIVE screen for HIV-1 and HIV-2 antibodies,H11,3,,3100,true
NO_ANTI_HIV_1_HIV_2_PLUS_O_ANTIBODIES_DETECTED.,No anti-HIV-1/HIV-2 Plus O antibodies detected.,H30,3,,3200,true
OVERRIDE_RESULT,Override result,,36,,33600,true
NO_COMMENTS.,No comments.,,3,,33800,true
NON_MOTILE,Non-motile,,3,,25200,true
TEST_NOT_PERFORMED,Test not performed,,3,,25300,true
NOT_LYSED_BY_PHAGE,Not lysed by phage,,3,,25400,true
LYSED_BY_PHAGE,Lysed by phage,,3,,25500,true
NOT_PERFORMED,Not performed,,3,,25600,true
NON_ENCAPSULATED,Non-encapsulated,,3,,25700,true
ENCAPSULATED,Encapsulated,,3,,25800,true
CATALASE_PRODUCED,Catalase produced,,3,,25900,true
NO_SPORES,No spores,,3,,26000,true
NO_BACILLUS_ANTHRACIS_CELLS_DETECTED,No Bacillus Anthracis cells detected,,3,,26100,true
PRESUMPTIVE_RESULT_FOR_BACILLUS_ANTHRACIS_CELLS,Presumptive result for Bacillus anthracis cells,,3,,26200,true
NO_BACILLUS_ANTHRACIS_SPRES_DETECTED,No Bacillus anthracis spres detected,,3,,26300,true
PRESUMPTIVE_RESULTS_FOR_BACILLUS_ANTHRACIS_SPORES,Presumptive results for Bacillus anthracis spores,,3,,26400,true
NEGATIVE:_BACILLI_IN_CHAINS,Negative: Bacilli in chains,,3,,27900,true
NEGATIVE:_BACILLI_IN_NO_DISCERNABLE_PATTERN,Negative: Bacilli in no discernable pattern,,3,,28000,true
NEGATIVE:_BACILLI_IN_CLUSTERS,Negative: Bacilli in clusters,,3,,28100,true
NEGATIVE:_BACILLI_IN_PAIRS,Negative: Bacilli in pairs,,3,,28200,true
NEGATIVE:_COCCI_IN_CHAINS,Negative: Cocci in chains,,3,,28300,true
NEGATIVE:_COCCI_IN_NO_DISCERNABLE_PATTERN,Negative: Cocci in no discernable pattern,,3,,28400,true
NEGATIVE:_COCCI_IN_CLUSTERS,Negative: Cocci in clusters,,3,,28500,true
NEGATIVE:_COCCI_IN_PAIRS,Negative: Cocci in pairs,,3,,28600,true
NEGATIVE:_COCCOBACILLI_IN_CHAINS,Negative: Coccobacilli in chains,,3,,28700,true
NEGATIVE:_COCCOBACILLI_IN_NO_DISCERNABLE_PATTERN,Negative: Coccobacilli in no discernable pattern,,3,,28800,true
NEGATIVE:_COCCOBACILLI_IN_CLUSTERS,Negative: Coccobacilli in clusters,,3,,28900,true
NEGATIVE:_COCCOBACILLI_IN_PAIRS,Negative: Coccobacilli in pairs,,3,,29000,true
NEGATIVE:_OTHER,Negative: Other,,3,,29100,true
POSITIVE:_BACILLI_IN_CHAINS,Positive: Bacilli in chains,,3,,29200,true
POSITIVE:_BACILLI_IN_NO_DISCERNABLE_PATTERN,Positive: Bacilli in no discernable pattern,+B,3,,29300,true
POSITIVE:_BACILLI_IN_CLUSTERS,Positive: Bacilli in clusters,,3,,29400,true
POSITIVE:_BACILLI_IN_PAIRS,Positive: Bacilli in pairs,,3,,29500,true
POSITIVE:_COCCI_IN_CHAINS,Positive: Cocci in chains,,3,,29600,true
POSITIVE:_COCCI_IN_NO_DISCERNABLE_PATTERN,Positive: Cocci in no discernable pattern,,3,,29700,true
POSITIVE:_COCCI_IN_CLUSTERS,Positive: Cocci in clusters,,3,,29800,true
POSITIVE:_COCCI_IN_PAIRS,Positive: Cocci in pairs,,3,,29900,true
POSITIVE:_COCCOBACILLI_IN_CHAINS,Positive: Coccobacilli in chains,,3,,30000,true
POSITIVE:_COCCOBACILLI_IN_NO_DISCERNABLE_PATTERN,Positive: Coccobacilli in no discernable pattern,,3,,30100,true
POSITIVE:_COCCOBACILLI_IN_CLUSTERS,Positive: Coccobacilli in clusters,,3,,30200,true
POSITIVE:__COCCOBACILLI_IN_PAIRS,Positive:  Coccobacilli in pairs,,3,,30300,true
POSITIVE:_OTHER,Positive: Other,+O,3,,30400,true
VARIABLE:_BACILLI_IN_CHAINS,Variable: Bacilli in chains,,3,,30500,true
VARIABLE:_COCCOBACILLI_IN_NO_DISCERNABLE_PATTERN,Variable: Coccobacilli in no discernable pattern,,3,,31400,true
VARIABLE:_COCCOBACILLI_IN_CLUSTERS,Variable: Coccobacilli in clusters,,3,,31500,true
VARIABLE:_COCCOBACILLI_IN_PAIRS,Variable: Coccobacilli in pairs,,3,,31600,true
VARIABLE:_OTHER,Variable: Other,,3,,31700,true
POSITIVE:_COCCOBACILLI_IN_PAIRS,Positive: Coccobacilli in pairs,,3,,31800,true
ROCHE_FAST_START_DNA_MASTER_HYBRIDIZATION_PROBE_KI,Roche Fast Start DNA Master Hybridization Probe Kit,,3,,31900,true
UNSATISFACTORY,Unsatisfactory,UNS,3,,32000,true
FLUORESCENCE_DETECTED_+1,Fluorescence detected +1,,3,,32100,true
FLUORESCENCE_DETECTED_+2,Fluorescence detected +2,,3,,32200,true
FLUORESCENCE_DETECTED_+3,Fluorescence detected +3,,3,,32300,true
FLUORESCENCE_DETECTED_+4,Fluorescence detected +4,,3,,32400,true
NO_FLUORESCENCE_DETECTED,No fluorescence detected,,3,,32500,true
INFLUENZA_VIRUS_A_RNA_NOT_DETECTED,Influenza Virus A RNA Not Detected,,3,,32600,true
INFLUENZA_VIRUS_RNA_DETECTED,Influenza Virus RNA Detected,,3,,32700,true
INFLUENZA_VIRUS_A_H3_RNA_DETECTED,Influenza Virus A/H3 RNA Detected,,35,,33000,true
INFLUENZA_VIRUS_A_H1_RNA_DETECTED,Influenza Virus A/H1 RNA Detected,,35,,32900,true
INFLUENZA_VIRUS_A_H5_RNA_DETECTED,Influenza Virus A/H5 RNA Detected,,35,,33100,true
INFLUENZA_VIRUS_A_RNA_DETECTED,Influenza Virus A RNA Detected,,35,,33200,true
INFLUENZA_VIRUS_A_UNTYPEABLE,Influenza Virus A/Untypeable,,3,,33300,true
SUSPECT_COLONIES_PRESENT,Suspect Colonies Present,AAA,3,,35700,true
NO_SUSPECT_COLONIES_PRESENT,No Suspect Colonies Present,,3,,36100,true
GAMMA_HEMOLYTIC_NOT_DETECTED,Gamma Hemolytic Not Detected,,3,,36200,true
ALPHA_HEMOLYTIC,Alpha Hemolytic,,3,,36300,true
ALPHA_HEMOLYTIC_NOT_DETECTED,Alpha Hemolytic Not Detected,,3,,36400,true
BETA_HEMOLYTIC,Beta Hemolytic,,3,,36500,true
BETA_HEMOLYTIC_NOT_DETECTED,Beta Hemolytic Not Detected,,3,,36600,true
CHOOSE_EQUIPMENT,Choose Equipment,,3,,36700,true
RESULTS_USUALLY_INDICATE_SYPHILIS._A_FOLLOW_UP_SPE,Results usually indicate syphilis. A follow-up specimen is recommended to confirm this result unless another specimen has already been submitted within the past 3 months.,RR1,34,,38000,true
RESULTS_USUALLY_INDICATE_SYPHILIS.,Results usually indicate syphilis.,RR2,34,,38100,true
NONREACTIVE_FTA_ABS_TEST_RESULT_DOES_NOT_CONFIRM_S,Nonreactive FTA-ABS test result does not confirm syphilis.,RN,34,,38200,true
RESULTS_INDICATE_PREVIOUS_SYPHILIS_TREATED_OR_UNTR,Results indicate previous syphilis (treated or untreated) or late syphilis. A follow-up specimen is recommended to confirm this result unless another specimen has already been submitted.,NR1,34,,38300,true
GIARDIA_LAMBLIA_TROPHOZOITES,Giardia lamblia trophozoites,,3,,1400,true
ENTAMOEBA_HISTOLYTICA_CYSTS,Entamoeba histolytica cysts,,3,,1500,true
VIRAL_AGENT_NOT_ISOLATED,Viral Agent Not Isolated,VANI,34,,22900,true
RESULTS_INDICATE_PREVIOUS_SYPHILIS_TREATED_OR_UNTR,Results indicate previous syphilis (treated or untreated) or late syphilis.,NR2,34,,38400,true
1+,1+,,3,,39700,true
DILUTION_1:10,Dilution 1:10,,3,,40600,true
DILUTION_1:100,Dilution 1:100,,3,,40700,true
DILUTION_1:1000,Dilution 1:1000,,3,,40800,true
NO_BACILLUS_ANTHRACIS_CELLS_DETECTED_BY_TRF,No Bacillus anthracis cells detected by TRF,,3,,40900,true
PRESUMPTIVE_RESULT_FOR_BACILLUS_ANTHRACIS_CELLS_BY,Presumptive result for Bacillus anthracis cells by TRF,,3,,41000,true
NO_BACILLUS_ANTHRACIS_SPRORES_DETECTED_BY_TRF,No Bacillus anthracis sprores detected by TRF,,3,,41100,true
PRESUMPTIVE_RESULTS_FOR_BACILLUS_ANTHRACIS_SPORES_,Presumptive results for Bacillus anthracis spores by TRF,,3,,41200,true
SUSCEPTIBLE,Susceptible,,3,,41300,true
NONSUSCEPTIBLE___CONTACT_CDC_FOR_CONFIRMATION_OF_R,Nonsusceptible - Contact CDC for confirmation of resistance,,3,,41400,true
NO_PASS,No Pass,,3,,41500,true
PASS,Pass,,3,,41600,true
PRELIMINARY_POSITIVE,PRELIMINARY POSITIVE,,3,,600,true
PRELIMINARY_NEGATIVE,PRELIMINARY NEGATIVE,,3,,700,true
GRAM_+_ROD,gram + rod,,3,,800,false
GRAM___ROD,gram - rod,,3,,900,false
BACILLUS_SPECIES_NOT_ANTHRACIS,Bacillus species (not anthracis),,3,,1000,true
BRUCELLA_SPECIES,Brucella species,,3,,1200,true
FTA_ABS_TEST_RESULT_EQUIVOCAL._A_FOLLOW_UP_SPECIME,FTA-ABS test result equivocal. A follow-up specimen is recommended in 2-3 weeks to check for a possible early infection.,BOR1,34,,38500,true
FTA_ABS_TEST_RESULT_EQUIVOCAL.,FTA-ABS test result equivocal.,BOR2,34,,38600,true
ANTIBODY_DETECTED_MAY_BE_MATERNAL._OTHER_CRITERIA_,Antibody detected may be maternal. Other criteria must be used to rule out congenital syphilis.,INF,34,,38700,true
STAINING_IS_ATYPICAL._RESULTS_ARE_UNINTERPRETABLE.,Staining is atypical. Results are uninterpretable. Please submit another specimen.,ATYP,34,,38800,true
1_2+,1/2+,,3,,39800,true
2+,2+,,3,,39900,true
2_3+,2/3+,,3,,40000,true
3+,3+,,3,,40100,true
3_4+,3/4+,,3,,40200,true
4+,4+,,3,,40300,true
FTA_REACTIVE,FTA Reactive,F,34,,40400,true
FLUORESCENCE,Fluorescence,R,34,,40500,true
<_0.002_UG_ML,< 0.002 ug/ml,,3,,41700,true
=_0.002_UG_ML,= 0.002 ug/ml,,3,,41800,true
=0.003_UG_ML,=0.003 ug/ml,,3,,41900,true
=0.004_UG_ML,=0.004 ug/ml,,3,,42000,true
=0.006_UG_ML,=0.006 ug/ml,,3,,42100,true
=0.008_UG_ML,=0.008 ug/ml,,3,,42200,true
=0.012_UG_ML,=0.012 ug/ml,,3,,42300,true
=0.016_UG_ML,=0.016 ug/ml,,3,,42400,true
=0.023_UG_ML,=0.023 ug/ml,,3,,42500,true
=0.032_UG_ML,=0.032 ug/ml,,3,,42600,true
=0.047_UG_ML,=0.047 ug/ml,,3,,42700,true
=0.064_UG_ML,=0.064 ug/ml,,3,,42800,true
=0.094_UG_ML,=0.094 ug/ml,,3,,42900,true
=0.125_UG_ML,=0.125 ug/ml,,3,,43000,true
=0.19_UG_ML,=0.19 ug/ml,,3,,43100,true
=0.25_UG_ML,=0.25 ug/ml,,3,,43200,true
=0.38_UG_ML,=0.38 ug/ml,,3,,43300,true
=0.5_UG_ML,=0.5 ug/ml,,3,,43400,true
=0.75_UG_ML,=0.75 ug/ml,,3,,43500,true
=1.0_UG_ML,=1.0 ug/ml,,3,,43600,true
=1.5_UG_ML,=1.5 ug/ml,,3,,43700,true
=2.3_UG_ML,=2.3 ug/ml,,3,,43800,false
=4.6_UG_ML,=4.6 ug/ml,,3,,43900,false
=8_UG_ML,=8 ug/ml,,3,,44000,true
=12_UG_ML,=12 ug/ml,,3,,44100,true
=16_UG_ML,=16 ug/ml,,3,,44200,true
=24_UG_ML,=24 ug/ml,,3,,44300,true
=32_UG_ML,=32 ug/ml,,3,,44400,true
>_32_UG_ML,> 32 ug/ml,,3,,44500,true
<_0.016_UG_ML,< 0.016 ug/ml,,3,,44600,true
=48_UG_ML,=48 ug/ml,,3,,44700,true
=64_UG_ML,=64 ug/ml,,3,,44800,true
=96_UG_ML,=96 ug/ml,,3,,44900,true
=128_UG_ML,=128 ug/ml,,3,,45000,true
=192_UG_ML,=192 ug/ml,,3,,45100,true
=256_UG_ML,=256 ug/ml,,3,,45200,true
>_256_UG_ML,> 256 ug/ml,,3,,45300,true
TETRACYCLINE,Tetracycline,,3,,45400,true
=2.0_UG_ML,=2.0 ug/ml,,3,,45500,true
=3.0_UG_ML,=3.0 ug/ml,,3,,45600,true
=4.0_UG_ML,=4.0 ug/ml,,3,,45700,true
=6.0_UG_ML,=6.0 ug/ml,,3,,45800,true
INFLUENZA_VIRUS_A_H7_RNA_DETECTED,Influenza Virus A/H7 RNA Detected,,35,,47700,true
INFLUENZA_VIRUS_A_H9_RNA_DETECTED,Influenza Virus A/H9 RNA Detected,,35,,47800,true
INFLUENZA_VIRUS_A_H1,Influenza Virus A/H1,,35,,4500,true
INFLUENZA_VIRUS_A_H7,Influenza Virus A/H7,,35,,4600,true
INFLUENZA_VIRUS_A_H9,Influenza Virus A/H9,,35,,4700,true
DUMMY_PLACEHOLDER,dummy placeholder,,3,,33700,true
INDETERMINATE,INDETERMINATE,,34,,4900,true
UNSATISFACTORY,UNSATISFACTORY,,35,,5000,true
CODED_COMMENTS_NEED_TO_BE_ADDED,Coded comments need to be added,,3,,1100,true
NOT_DETECTED,NOT DETECTED,,3,,5200,true
GIARDIA_LAMBLIA_CYSTS,Giardia lamblia cysts,,3,,1300,true
REACTIVE,REACTIVE,,34,,5400,true
NONREACTIVE,NONREACTIVE,,34,,5500,true
POSITIVE_=_ANY_TWO_OF_THE_FOLLOWING_BANDS_PRESENT:,"POSITIVE = Any two of the following bands present: p24,gp41, and gp 120/160. Other viral bands may be present. Indicates patient is positive for anti-HIV-1 antibody.",,34,,14700,true
FINAL_INTERPRETATION:_THESE_RESULTS_MOST_CLOSELY_I,FINAL INTERPRETATION: These results most closely indicate the presence of HIV-1 antibodies.,H21,3,,3300,true
MID_=_PATIENT_ID_ON_SPECIMEN_AND_REQUEST_MISMATCHE,MID = Patient ID ON Specimen and Request Mismatched,,34,,5800,true
NR_=_SPECIMEN_CULTURE_NOT_RECEIVED,NR = Specimen/Culture Not Received,,34,,5900,true
GH_=_GROSS_HEMOLYSIS_OF_SPECIMEN,GH = Gross Hemolysis of Specimen,,34,,6000,true
ANO_=_PLEASE_SUBMIT_ANOTHER_SPECIMEN.,ANO = Please Submit Another Specimen.,,34,,6100,true
NEGATIVE_=_NO_BANDS_ARE_PRESENT_INDICATING_ABSENCE,NEGATIVE = No bands are present indicating absence of anti-HIV-1 antibody. Please submit another OraSure (or serum) sample one month following the first sample for repeat testing.,,34,,14800,true
INFLUENZA_VIRUS_A_H5,Influenza Virus A/H5,,35,,6700,true
SENSITIVE,SENSITIVE,,3,,11500,true
PRELIMINARY,Preliminary,,3,,12000,true
FINAL,FINAL,,3,,12100,true
BACILLUS_ANTHRACIS_NOT_FOUND,Bacillus anthracis not found,,3,,12700,true
+,+,,3,,12800,true
VARIABLE:_BACILLI_IN_PAIRS,Variable: Bacilli in pairs,,3,,35800,true
INFLUENZA_VIRUS_A_H3,Influenza Virus A/H3,,35,,4400,true
INDETERMINATE_=_BAND_PATTERN_DOES_NOT_MEET_CRITERI,INDETERMINATE = Band pattern does not meet criteria for positive. Repeatedly similar indeterminate patterns indicate bands not specific for HIV. Please submit another OraSure (or serum) sample one month following the first sample for repeat testing.,,34,,6600,true
NO_GROWTH,No Growth,,3,,7700,true
SPORES_PRESENT,Spores Present,,3,,35900,true
ATYPICAL_SUSPECT_COLONIES,Atypical Suspect Colonies,,3,,36000,true
ABI_7500,ABI 7500,,3,,36800,true
FINAL_INTERPRETATION:_THESE_RESULTS_MOST_CLOSELY_I,"FINAL INTERPRETATION: These results most closely indicate the presence of HIV-2 antibodies; however, confirmation testing for HIV-2 will be performed at the Centers for Disease Control and Prevention on this current specimen.",H22,3,,3400,true
GAMMA_HEMOLYTIC,Gamma Hemolytic,,3,,8000,true
BORDERLINE,BORDERLINE,BOR,3,,37800,true
FINAL_INTERPRETATION:_THESE_RESULTS_MOST_CLOSELY_I,FINAL INTERPRETATION: These results most closely indicate the presence of HIV antibodies (without differentiation). Please submit another specimen one month following the collection of the first specimen for repeat testing. This subsequent specimen may allow for HIV antibody differentiation.,H23,3,,3500,true
FINAL_INTERPRETATION:_THESE_RESULTS_MOST_CLOSELY_I,FINAL INTERPRETATION: These results most closely indicate the presence of HIV-1 antibodies. Please submit another specimen one month following the first specimen for repeat testing. This subsequent specimen may allow for confirmation of HIV-1 antibodies.,H24,3,,3600,true
A,A,,3,,49700,true
AB,AB,,34,,49800,true
O,O,,35,,49900,true
A,A,,,,50100,true
RÉACTIF,Réactif,R,3,,37700,true
"DEMOGRAPHIC_RESPONSE_YES_IN_YES,_NO_OR_UNKNOWN","Demographic Response Yes (in Yes, No or Unknown)",Yes,57,answer.yes,66000,true
"DEMOGRAPHIC_RESPONSE_NO_YES,_NO_OR_UNKNOWN","Demographic Response No (Yes, No or Unknown)",No,57,answer.no,66100,true
"DEMOGRAPHIC_RESPONSE_UNKNOWN_YES,_NO_OR_UNKNOWN","Demographic Response Unknown (Yes, No or Unknown)",Unknown,57,answer.unknown,66200,true
THE_DATA_ENTRY_HAS_NOT_YET_STARTED,The data entry has not yet started,Not Start,77,record.notStarted,72000,true
THE_INITIAL_ENTRY_HAS_BEEN_DONE,The initial entry has been done,Init Ent,77,record.initialEntry,72100,true
"THE_SECOND,_VALIDATION,_ENTRY_HAS_BEEN_DONE","The second, validation, entry has been done",Valid Ent,77,record.validationEntry,72200,true
